,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints Day,All Saints Day_lower,All Saints Day_upper,All Souls Day,All Souls Day_lower,All Souls Day_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Day of Ashura,Day of Ashura_lower,Day of Ashura_upper,Diwali,Diwali_lower,Diwali_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Eid al-Fitr,Eid al-Fitr_lower,Eid al-Fitr_upper,Feast of Holy Family,Feast of Holy Family_lower,Feast of Holy Family_upper,Feast of Pentecost,Feast of Pentecost_lower,Feast of Pentecost_upper,Feast of the Blessed Virgin,Feast of the Blessed Virgin_lower,Feast of the Blessed Virgin_upper,Feast of the Sacrifice,Feast of the Sacrifice_lower,Feast of the Sacrifice_upper,Fest of St. Theresa of Calcutta,Fest of St. Theresa of Calcutta_lower,Fest of St. Theresa of Calcutta_upper,Gandhi Jayanti,Gandhi Jayanti_lower,Gandhi Jayanti_upper,Good Friday,Good Friday_lower,Good Friday_upper,Holi,Holi_lower,Holi_upper,Independence Day,Independence Day_lower,Independence Day_upper,Maundy Thursday,Maundy Thursday_lower,Maundy Thursday_upper,Mawlid,Mawlid_lower,Mawlid_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Palm Sunday,Palm Sunday_lower,Palm Sunday_upper,Republic Day,Republic Day_lower,Republic Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1591,2002-02-05,-30.03705625121167,-33.105563357985176,69.41134355331815,-30.03705625121167,-30.03705625121167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.81567648745431,48.81567648745431,48.81567648745431,0.0,0.0,0.0,0.0,0.0,0.0,44.93285398290691,44.93285398290691,44.93285398290691,3.882822504547401,3.882822504547401,3.882822504547401,0.0,0.0,0.0,18.77862023624264
1592,2002-02-06,-30.024704007397002,-36.14772298032185,70.02819614116531,-30.024704007397002,-30.024704007397002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68795346882341,48.68795346882341,48.68795346882341,0.0,0.0,0.0,0.0,0.0,0.0,44.827207916140495,44.827207916140495,44.827207916140495,3.860745552682903,3.860745552682903,3.860745552682903,0.0,0.0,0.0,18.663249461426407
1593,2002-02-07,-30.012351763582334,-34.392185760875186,69.53000059786997,-30.012351763582334,-30.012351763582334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.005529423043406,49.005529423043406,49.005529423043406,0.0,0.0,0.0,0.0,0.0,0.0,45.17479844992372,45.17479844992372,45.17479844992372,3.830730973119676,3.830730973119676,3.830730973119676,0.0,0.0,0.0,18.99317765946107
1594,2002-02-08,-29.99999951976766,-30.596592928206487,69.03200055974585,-29.99999951976766,-29.99999951976766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.62869450474209,48.62869450474209,48.62869450474209,0.0,0.0,0.0,0.0,0.0,0.0,44.83859602433234,44.83859602433234,44.83859602433234,3.7900984804097493,3.7900984804097493,3.7900984804097493,0.0,0.0,0.0,18.628694984974434
1595,2002-02-11,-29.962942788323655,-31.409236050493554,75.59091005153653,-29.962942788323655,-29.962942788323655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.76627466380734,48.76627466380734,48.76627466380734,0.0,0.0,0.0,0.0,0.0,0.0,45.18490775111537,45.18490775111537,45.18490775111537,3.5813669126919745,3.5813669126919745,3.5813669126919745,0.0,0.0,0.0,18.803331875483682
1596,2002-02-12,-29.950590544508987,-35.030348734375835,71.96816867826064,-29.950590544508987,-29.950590544508987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.38463163714616,50.38463163714616,50.38463163714616,1.9750975649999998,1.9750975649999998,1.9750975649999998,1.9750975649999998,1.9750975649999998,1.9750975649999998,44.932853983055075,44.932853983055075,44.932853983055075,3.4766800890910887,3.4766800890910887,3.4766800890910887,0.0,0.0,0.0,20.43404109263717
1597,2002-02-13,-29.938238300694316,-33.654229347169945,70.17269589773328,-29.938238300694316,-29.938238300694316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.17944858126913,48.17944858126913,48.17944858126913,0.0,0.0,0.0,0.0,0.0,0.0,44.827207916215045,44.827207916215045,44.827207916215045,3.352240665054086,3.352240665054086,3.352240665054086,0.0,0.0,0.0,18.241210280574812
1598,2002-02-14,-29.925886056879648,-37.09041014327936,71.96625513888546,-29.925886056879648,-29.925886056879648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.382097223075874,48.382097223075874,48.382097223075874,0.0,0.0,0.0,0.0,0.0,0.0,45.174798449909794,45.174798449909794,45.174798449909794,3.207298773166074,3.207298773166074,3.207298773166074,0.0,0.0,0.0,18.456211166196226
1599,2002-02-15,-29.91353381306498,-35.9924629795669,72.356598265172,-29.91353381306498,-29.91353381306498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.880085229914684,47.880085229914684,47.880085229914684,0.0,0.0,0.0,0.0,0.0,0.0,44.838596024226305,44.838596024226305,44.838596024226305,3.041489205688384,3.041489205688384,3.041489205688384,0.0,0.0,0.0,17.966551416849704
1600,2002-02-18,-29.876477081620973,-36.365556182640944,68.3303048948301,-29.876477081620973,-29.876477081620973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.60561416693191,47.60561416693191,47.60561416693191,0.0,0.0,0.0,0.0,0.0,0.0,45.18490775110341,45.18490775110341,45.18490775110341,2.4207064158284965,2.4207064158284965,2.4207064158284965,0.0,0.0,0.0,17.729137085310935
1601,2002-02-19,-29.864124837806298,-36.93650103126828,71.75655089540628,-29.864124837806298,-29.864124837806298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08289613797434,49.08289613797434,49.08289613797434,1.9750975649999998,1.9750975649999998,1.9750975649999998,1.9750975649999998,1.9750975649999998,1.9750975649999998,44.932853982951485,44.932853982951485,44.932853982951485,2.1749445900228492,2.1749445900228492,2.1749445900228492,0.0,0.0,0.0,19.21877130016804
1602,2002-02-20,-29.85177259399163,-33.28919970956777,66.38964515838965,-29.85177259399163,-29.85177259399163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.738832370042275,46.738832370042275,46.738832370042275,0.0,0.0,0.0,0.0,0.0,0.0,44.827207916335965,44.827207916335965,44.827207916335965,1.9116244537063027,1.9116244537063027,1.9116244537063027,0.0,0.0,0.0,16.887059776050645
1603,2002-02-21,-29.83942035017696,-36.877259685312005,72.09572561937725,-29.83942035017696,-29.83942035017696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.80700606036937,46.80700606036937,46.80700606036937,0.0,0.0,0.0,0.0,0.0,0.0,45.17479844989585,45.17479844989585,45.17479844989585,1.632207610473511,1.632207610473511,1.632207610473511,0.0,0.0,0.0,16.967585710192406
1604,2002-02-22,-29.82706810636229,-39.48508076440552,64.33538579920406,-29.82706810636229,-29.82706810636229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17692120926095,46.17692120926095,46.17692120926095,0.0,0.0,0.0,0.0,0.0,0.0,44.83859602441552,44.83859602441552,44.83859602441552,1.3383251848454236,1.3383251848454236,1.3383251848454236,0.0,0.0,0.0,16.349853102898656
1605,2002-02-25,-29.790011374918283,-36.59135023299649,71.64602621119808,-29.790011374918283,-29.790011374918283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57271365591047,45.57271365591047,45.57271365591047,0.0,0.0,0.0,0.0,0.0,0.0,45.18490775121782,45.18490775121782,45.18490775121782,0.38780590469264525,0.38780590469264525,0.38780590469264525,0.0,0.0,0.0,15.782702280992186
1606,2002-02-26,-29.777659131103615,-32.04753611745946,68.27935672626195,-29.777659131103615,-29.777659131103615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.98708209670891,44.98708209670891,44.98708209670891,0.0,0.0,0.0,0.0,0.0,0.0,44.93285398284789,44.93285398284789,44.93285398284789,0.054228113861020145,0.054228113861020145,0.054228113861020145,0.0,0.0,0.0,15.209422965605295
1607,2002-02-27,-29.765306887288947,-39.33328301446055,66.2621360518874,-29.765306887288947,-29.765306887288947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.54259386321492,44.54259386321492,44.54259386321492,0.0,0.0,0.0,0.0,0.0,0.0,44.82720791634527,44.82720791634527,44.82720791634527,-0.2846140531303566,-0.2846140531303566,-0.2846140531303566,0.0,0.0,0.0,14.777286975925971
