,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2566,2012-10-05,150.92463977214797,102.4860537896341,199.0979122282057,150.92463977214797,150.92463977214797,-1.1400773214864728,-1.1400773214864728,-1.1400773214864728,0.0,0.0,0.0,0.0,0.0,0.0,3.714176331415861,3.714176331415861,3.714176331415861,-4.854253652902334,-4.854253652902334,-4.854253652902334,0.0,0.0,0.0,149.7845624506615
2567,2012-10-08,151.1072556787786,103.67432960768296,200.33417776570315,151.1072556787786,151.1072556787786,-0.6799407584009348,-0.6799407584009348,-0.6799407584009348,0.0,0.0,0.0,0.0,0.0,0.0,3.967987929173396,3.967987929173396,3.967987929173396,-4.647928687574331,-4.647928687574331,-4.647928687574331,0.0,0.0,0.0,150.42731492037768
2568,2012-10-09,151.1681276476555,103.63516029276309,200.16538320262492,151.1681276476555,151.1681276476555,-0.14934075377772701,-0.14934075377772701,-0.14934075377772701,0.0,0.0,0.0,0.0,0.0,0.0,4.252001437168381,4.252001437168381,4.252001437168381,-4.401342190946108,-4.401342190946108,-4.401342190946108,0.0,0.0,0.0,151.01878689387777
2569,2012-10-10,151.22899961653238,101.77020120109692,200.8971117908918,151.22899961653238,151.22899961653238,-0.3674853834885512,-0.3674853834885512,-0.3674853834885512,0.0,0.0,0.0,0.0,0.0,0.0,3.6963373920687412,3.6963373920687412,3.6963373920687412,-4.063822775557292,-4.063822775557292,-4.063822775557292,0.0,0.0,0.0,150.86151423304383
2570,2012-10-11,151.28987158540926,104.2935189592579,201.15345523753504,151.28987158540926,151.28987158540926,0.7143485911946201,0.7143485911946201,0.7143485911946201,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156669533,4.350989156669533,4.350989156669533,-3.6366405654749117,-3.6366405654749117,-3.6366405654749117,0.0,0.0,0.0,152.00422017660387
2571,2012-10-12,151.35074355428614,106.64479146886649,204.01816628502047,151.35074355428614,151.35074355428614,0.5914674580583426,0.5914674580583426,0.5914674580583426,0.0,0.0,0.0,0.0,0.0,0.0,3.7141763313649445,3.7141763313649445,3.7141763313649445,-3.122708873306601,-3.122708873306601,-3.122708873306601,0.0,0.0,0.0,151.94221101234447
2572,2012-10-15,151.53335946091678,104.05477316840599,198.9984578334172,151.53335946091678,151.53335946091678,2.855285456635659,2.855285456635659,2.855285456635659,0.0,0.0,0.0,0.0,0.0,0.0,3.9679879290142,3.9679879290142,3.9679879290142,-1.1127024723785397,-1.1127024723785397,-1.1127024723785397,0.0,0.0,0.0,154.38864491755245
2573,2012-10-16,151.59423142979367,105.6287677091823,201.63192042513288,151.59423142979367,151.59423142979367,3.9410394238915205,3.9410394238915205,3.9410394238915205,0.0,0.0,0.0,0.0,0.0,0.0,4.252001437094855,4.252001437094855,4.252001437094855,-0.31096201320333444,-0.31096201320333444,-0.31096201320333444,0.0,0.0,0.0,155.53527085368518
2574,2012-10-17,151.65510339867055,108.58966845141643,201.69256829580436,151.65510339867055,151.65510339867055,4.23791381206366,4.23791381206366,4.23791381206366,0.0,0.0,0.0,0.0,0.0,0.0,3.6963373918919182,3.6963373918919182,3.6963373918919182,0.5415764201717418,0.5415764201717418,0.5415764201717418,0.0,0.0,0.0,155.8930172107342
2575,2012-10-18,151.71597536754743,111.82947618345125,206.01452678874037,151.71597536754743,151.71597536754743,5.7855139808898635,5.7855139808898635,5.7855139808898635,0.0,0.0,0.0,0.0,0.0,0.0,4.3509891564387715,4.3509891564387715,4.3509891564387715,1.4345248244510918,1.4345248244510918,1.4345248244510918,0.0,0.0,0.0,157.5014893484373
